Element id: drag1, X: 576, Y: 55 [object MouseEvent] 1471019839008
Element id: drag1, X: 576, Y: 55 [object DragEvent] 1471019839314
Element id: drag1, X: 571, Y: 532 [object DragEvent] 1471019840625
Element id: drag1, X: 571, Y: 56 [object MouseEvent] 1471019843286
Element id: drag1, X: 571, Y: 56 [object DragEvent] 1471019843455
Element id: drag1, X: 570, Y: 474 [object DragEvent] 1471019845105
Element id: proceedbutton, X: 599, Y: 396 [object MouseEvent] 1471019849850
Result: correct number chosen, PUID: Hlat, 1471019852142
Result: Lattice Positions correct, PUID: Hlat, 1471019855032
Element id: 3-6latb2, X: 1036, Y: 289 [object MouseEvent] 1471019856768
Element id: menu2, X: 364, Y: 89 [object MouseEvent] 1471019861241
Element id: 222b, X: 192, Y: 529 [object MouseEvent] 1471019966151
Element id: , X: 991, Y: 238 [object MouseEvent] 1471019968269
Element id: instructions-p, X: 961, Y: 454 [object MouseEvent] 1471019971966
